wgs_id	color	continent
SRR3360707	#386cb0	Europe
SRR3360708	#386cb0	Europe
SRR3360709	#386cb0	Europe
SRR3360710	#386cb0	Europe
SRR3360711	#386cb0	Europe
SRR3360712	#386cb0	Europe
SRR3360713	#386cb0	Europe
SRR3360714	#386cb0	Europe
SRR3360715	#386cb0	Europe
SRR3360716	#386cb0	Europe
SRR3360717	#386cb0	Europe
SRR3360718	#386cb0	Europe
SRR3360719	#386cb0	Europe
SRR3360720	#386cb0	Europe
SRR3360721	#386cb0	Europe
SRR3360722	#386cb0	Europe
SRR3360723	#386cb0	Europe
SRR3360725	#386cb0	Europe
SRR3360726	#386cb0	Europe
SRR3360727	#386cb0	Europe
SRR3360728	#386cb0	Europe
SRR3360729	#386cb0	Europe
SRR3360730	#386cb0	Europe
SRR3360731	#386cb0	Europe
SRR3360733	#386cb0	Europe
SRR3360734	#386cb0	Europe
SRR3360735	#386cb0	Europe
SRR3360736	#386cb0	Europe
SRR3360737	#386cb0	Europe
SRR3360738	#386cb0	Europe
SRR3360740	#386cb0	Europe
SRR3360743	#386cb0	Europe
SRR3360745	#386cb0	Europe
SRR3360746	#386cb0	Europe
SRR3360747	#386cb0	Europe
SRR3360748	#386cb0	Europe
SRR3360749	#386cb0	Europe
SRR3360750	#386cb0	Europe
SRR3360751	#386cb0	Europe
SRR3360752	#386cb0	Europe
SRR3360753	#386cb0	Europe
SRR3360754	#386cb0	Europe
SRR3360755	#386cb0	Europe
SRR3360766	#386cb0	Europe
SRR3360771	#386cb0	Europe
SRR3360772	#386cb0	Europe
SRR3360774	#386cb0	Europe
SRR3360810	#386cb0	Europe
SRR3360811	#386cb0	Europe
SRR3360813	#386cb0	Europe
SRR3360827	#386cb0	Europe
SRR3360829	#386cb0	Europe
SRR3360832	#386cb0	Europe
SRR3360836	#386cb0	Europe
SRR3360846	#386cb0	Europe
SRR3360851	#386cb0	Europe
SRR3360854	#386cb0	Europe
SRR3360867	#386cb0	Europe
SRR3360872	#386cb0	Europe
SRR3360876	#386cb0	Europe
SRR3360883	#386cb0	Europe
SRR3360889	#386cb0	Europe
SRR3360890	#386cb0	Europe
SRR3360893	#386cb0	Europe
SRR3360913	#386cb0	Europe
SRR3360917	#386cb0	Europe
SRR3360921	#386cb0	Europe
SRR3360924	#386cb0	Europe
SRR3360926	#386cb0	Europe
SRR3360930	#386cb0	Europe
SRR3360936	#386cb0	Europe
SRR3360939	#386cb0	Europe
SRR3360943	#386cb0	Europe
SRR3360944	#386cb0	Europe
SRR3360947	#386cb0	Europe
SRR3360949	#386cb0	Europe
SRR3360950	#386cb0	Europe
SRR3360953	#386cb0	Europe
SRR3360964	#386cb0	Europe
SRR3360967	#386cb0	Europe
SRR3360970	#386cb0	Europe
SRR3360980	#386cb0	Europe
SRR3360981	#386cb0	Europe
SRR3360982	#386cb0	Europe
SRR3360983	#386cb0	Europe
SRR3360984	#386cb0	Europe
SRR3360991	#386cb0	Europe
SRR3360993	#386cb0	Europe
SRR3361307	#386cb0	Europe
SRR3361308	#386cb0	Europe
SRR3361310	#386cb0	Europe
SRR3361311	#386cb0	Europe
SRR3361312	#386cb0	Europe
SRR3361313	#386cb0	Europe
SRR3361314	#386cb0	Europe
SRR3361315	#386cb0	Europe
SRR3361317	#386cb0	Europe
SRR3361318	#386cb0	Europe
SRR3361320	#386cb0	Europe
SRR3361321	#386cb0	Europe
SRR3361322	#386cb0	Europe
SRR3361324	#386cb0	Europe
SRR3361325	#386cb0	Europe
SRR3361326	#386cb0	Europe
SRR3361328	#386cb0	Europe
SRR3361329	#386cb0	Europe
SRR3361332	#386cb0	Europe
SRR3361333	#386cb0	Europe
SRR3361336	#386cb0	Europe
SRR3361337	#386cb0	Europe
SRR3361338	#386cb0	Europe
SRR3361340	#386cb0	Europe
SRR3361341	#386cb0	Europe
SRR3361342	#386cb0	Europe
SRR3361343	#386cb0	Europe
SRR3361344	#386cb0	Europe
SRR3361345	#386cb0	Europe
SRR3361346	#386cb0	Europe
SRR3361347	#386cb0	Europe
SRR3361349	#386cb0	Europe
SRR3361350	#386cb0	Europe
SRR3361351	#386cb0	Europe
SRR3361352	#386cb0	Europe
SRR3361353	#386cb0	Europe
SRR3361354	#386cb0	Europe
SRR3361355	#386cb0	Europe
SRR3361356	#386cb0	Europe
SRR955973	#fdc086	South America
SRR959017	#f0027f	North America
SRR960561	#f0027f	North America
SRR969045	#f0027f	North America
SRR969336	#f0027f	North America
SRR969337	#f0027f	North America
SRR969338	#f0027f	North America
SRR969340	#f0027f	North America
SRR969341	#f0027f	North America
SRR969342	#f0027f	North America
SRR969343	#f0027f	North America
SRR969344	#f0027f	North America
SRR969345	#f0027f	North America
SRR969346	#f0027f	North America
SRR969348	#f0027f	North America
SRR969350	#f0027f	North America
SRR969352	#f0027f	North America
SRR969353	#f0027f	North America
SRR969354	#f0027f	North America
SRR969356	#f0027f	North America
SRR969361	#f0027f	North America
SRR969362	#f0027f	North America
SRR969363	#f0027f	North America
SRR969364	#f0027f	North America
SRR969365	#f0027f	North America
SRR969366	#f0027f	North America
SRR969367	#f0027f	North America
SRR969368	#f0027f	North America
SRR969369	#f0027f	North America
SRR969370	#f0027f	North America
SRR969371	#f0027f	North America
SRR969373	#f0027f	North America
SRR969374	#f0027f	North America
SRR969375	#f0027f	North America
SRR969376	#f0027f	North America
SRR969377	#f0027f	North America
SRR969378	#ffff99	Asia
